МОЛ,Цена,Количество,Сумма,Номер счёта,Дата,Классификатор
"Лента K-FLEX, шт",679.34,5.0,3396.7,105,30.06.2022,105.36
"Лента Scotch монтажная двухсторонняя прозрачная 19 мм*1,5м, шт",630.86,29.0,18295.05,105,30.06.2022,105.36
"Лента оградительная красно-белая, шт",146.25,11.0,1608.75,105,30.06.2022,105.36
"Лента-фум, рул",83.5,4.0,334.0,105,30.06.2022,105.36
"Магнитный браслет с неодимовыми магнитами MasterProf. HS.110038, шт",682.5,1.0,682.5,105,30.06.2022,105.36
"Мини-валик малярный в сборе STAYER MASTER DUALON 03-05812-11, ",172.8,6.0,1036.8,105,30.06.2022,105.36
"Монтировка АВТОДЕТАЛЬ, шт",819.95,1.0,819.95,105,30.06.2022,105.36
"Набор бит KRAFTOOL 25556-H43, компл",1164.15,1.0,1164.15,105,30.06.2022,105.36
"Набор отверток диэлектрических 1000В с пробником, 8 предметов, пластиковый кейс, Энкор 19835, компл",676.6,1.0,676.6,105,30.06.2022,105.36
"Набор силовых отверток с держателем, 6предметов МАСТАК 04-6GRB, к-т",2068.5,2.0,4137.0,105,30.06.2022,105.36
"Насадка для шуруповерта Torsion PH2 25мм, шт",19.04,16.0,304.64,105,30.06.2022,105.36
"Настенный кондиционер DAIKIN FAA71A/RR71BV Nord-40T (пульт BRC1H519W7), шт",267641.64,1.0,267641.64,105,30.06.2022,105.36
"Нож кровельный Stenley 99 RETRACTABLE 2-10-099 с трапециевидным лезвием, ",452.08,1.0,452.08,105,30.06.2022,105.36
"Отвертка тестер 70-250 В,SPARTA, шт",259.35,2.0,518.7,105,30.06.2022,105.36
"Очиститель монтажной пены, шт",208.75,2.0,417.5,105,30.06.2022,105.36
"Пакет ПНД 25+12*45 12мкм, 100 шт.уп.,белый, упак",54.95,1.0,54.95,105,30.06.2022,105.36
"Перчатки рабочие трикотажные Комус , упак",147.12,2.0,294.24,105,30.06.2022,105.36
"Пистолет для герметика Inforce, шт",208.75,1.0,208.75,105,30.06.2022,105.36
"пистолет для пены, шт",501.0,4.0,2004.0,105,30.06.2022,105.36
"Пленка воздушно-пузырчатая, шт",964.8,1.0,964.8,105,30.06.2022,105.36
"Пленка воздушно-пузырьковая трехслойная 1,5*50 м, рул",2244.95,1.0,2244.95,105,30.06.2022,105.36
"Пленка укрывная 2,7*20м с малярной лентой (для крепления к поверхности), шт",668.0,3.0,2004.0,105,30.06.2022,105.36
"Полотно техническое вафельное , рул",1822.36,2.0,3644.72,105,30.06.2022,105.36
"Присоска для снятия стекол двойная TOPEX 14А780, шт",770.25,1.0,770.25,105,30.06.2022,105.36
"Растворитель 646, м3",167.0,8.0,1336.0,105,30.06.2022,105.36
"Розетка RJ-45, шт",49.75,66.0,3283.5,105,30.06.2022,105.36
"Саморез 4,2*32 ШСММ с прессшайбой, упак",219.35,1.0,219.35,105,30.06.2022,105.36
"Саморез Tech-krep 3.5*16 ШСГД редкая резьба, упак",312.0,1.0,312.0,105,30.06.2022,105.36
"Саморез прессшайба ШСММ 4,2*19 мм острый оцинкованный, шлиц PY2, упак",175.5,1.0,175.5,105,30.06.2022,105.36
"Саморез с прессшайбой сверло 4,2*25 ШСММ, упак",195.0,1.0,195.0,105,30.06.2022,105.36
"Саморез ШСГМ 3,5*51, упак",170.6,1.0,170.6,105,30.06.2022,105.36
"Саморезы универсальные оцинкованные 3,5*30 мм, шт",2.34,1000.0,2340.0,105,30.06.2022,105.36
"саморезы универсальные оцинкованные 6*80, шт",3.34,200.0,668.0,105,30.06.2022,105.36
"Сверло HSS 3*61 мм по металлу, шт",58.45,3.0,175.35,105,30.06.2022,105.36
"Сверло по кафелю и стеклу Курс 6 мм, шт",88.51,12.0,1062.12,105,30.06.2022,105.36
"Сверло по металлу HSS-CO (3.5*70*39 mm), к-т",62.46,4.0,249.84,105,30.06.2022,105.36
"Сверло по металлу HSS-Co 4.5*80 мм Dexter Pro, шт",75.15,8.0,601.2,105,30.06.2022,105.36
"Сверло спиральное HSS 6.0*93mm ""MP 10, шт",91.85,4.0,367.4,105,30.06.2022,105.36
"Сетевой фильтр Defender DFS 153,6роз./3м/10А/125Дж,черный, шт",242.6,34.0,8248.4,105,30.06.2022,105.36
"Сетевой фильтр Defender DFS 605.6роз./5м/10А/220Дж,белый, шт",386.97,86.0,33279.42,105,30.06.2022,105.36
"Сетевой фильтр PILOT-S.6роз./5м/10Ф/80ДЖ, белый, шт",733.7,47.0,34483.9,105,30.06.2022,105.36
"Сетевой фильтр PILOT-S.6роз./7м/10А/80Дж,белый, шт",850.41,32.0,27213.12,105,30.06.2022,105.36
"Силиконовая смазка 400 мл Akfix YA14, ",345.6,7.0,2419.2,105,30.06.2022,105.36
"Силиконовый герметик, прозрачный SOUDAL PROFIL, шт",169.5,6.0,1017.0,105,30.06.2022,105.36
"Сменное жало держатель для бит Dexter, шт",321.75,1.0,321.75,105,30.06.2022,105.36
"Соединительная клемма 221-415, шт",55.72,13.0,724.36,105,30.06.2022,105.36
"Стекло для пожарного шкафа ТОИР-М, шт",39.5,2.0,79.0,105,30.06.2022,105.36
"Стол приставной на металлокаркасе коллекции Тандем-А, 60*60*75 см цвет дуб альпийский арт. ПК-ТНА-СТП60*60-В2-30, шт",9340.65,5.0,46703.25,105,30.06.2022,105.36
"Стрейч-пленка для ручной упаковки, 20мкм*50 см*220 м,престрейч 180%, 6 шт. в упак., упак",1648.5,4.0,6594.0,105,30.06.2022,105.36
"Стяжка межсекционная мебельная, М6*30, шт",4.01,100.0,401.0,105,30.06.2022,105.36
"Телескопический удлинитель для малярных валиков, шт",292.25,3.0,876.75,105,30.06.2022,105.36
"Уголок крепежный услиенный 50*50*35*2 мм, шт",16.7,26.0,434.2,105,30.06.2022,105.36
"Удлинитель 25 м на катушке LUX ПВС 2*0,75, 4 розетки б/з 24025, шт",1144.25,3.0,3432.75,105,30.06.2022,105.36
"Удлинитель в бухте POWER CUBE, 1 розетка с заземлением, 10м, 3х0,75мм, 1300Вт, оранж, PC-EG1-B-10, шт",375.99,2.0,751.98,105,30.06.2022,105.36
"Удлинитель РАДИСТ ПРЕМИУМ P16-012, 3 розетки с заземлением, 7м, 3х0,75мм, 1300Вт, белый, шт",258.02,13.0,3354.26,105,30.06.2022,105.36
"Чашка для опечатывания с флажком , шт",733.2,15.0,10998.0,105,30.06.2022,105.36
"Чистящая жидкость-спрей BRAUBERG для маркерных досок, ",179.22,80.0,14337.6,105,30.06.2022,105.36
"Шпатель KRAFTOOL 10035-100, ",420.32,2.0,840.64,105,30.06.2022,105.36
"Шпатель STAYER MASTER 60 мм 10041-06 Высота лезвия, ",179.6,2.0,359.2,105,30.06.2022,105.36
"Шпатель STAYER PROFESSIONAL 10045-20, ",569.04,2.0,1138.08,105,30.06.2022,105.36
"Штангенциркуль 150мм TOREX 31C615, шт",579.64,1.0,579.64,105,30.06.2022,105.36
"Шуруп-крюк (HS) 6*60, шт",16.7,26.0,434.2,105,30.06.2022,105.36
"Экран на рабочий стол коллекции Тандем-А,140*48 смс комплектом крепежа, арт.ПТ-ТНА-ЭКР 140*2/НК-В1/3-297, шт",3618.3,26.0,94075.8,105,30.06.2022,105.36
"Экран на рабочий стол коллекции Тандем-А,150*48 смс комплектом крепежа, арт.ПТ-ТНА-ЭКР 150*2/НК-В1/3-297, шт",3664.8,11.0,40312.8,105,30.06.2022,105.36
"Экран разделительный для стола из древесины (Древесных материалов), шт",3829.01,23.0,88067.23,105,30.06.2022,105.36
"Экран фронтальный двухсторонний с тканевой накладкой, шт",7576.0,37.0,280312.0,105,30.06.2022,105.36
"Канализационная установка SFA SANIDOUCHE (250 Вт), шт",37684.6,2.0,75369.2,105,30.09.2022,105.34
"Канализационная установка SFA SANIPRO XR (400 Вт), шт",24947.6,2.0,49895.2,105,30.09.2022,105.34
"Клей Момент Столяр Экспресс,750г, ",410.4,2.0,820.8,105,30.09.2022,105.34
"Клей монтажный «Tytanprofessional» Classic Fix каучуковый,прозрачный 310 мл, ",475.2,3.0,1425.6,105,30.09.2022,105.34
"Клей ПВА TYTAN PROFESSIONAL WB 33D3 для древесины,белый750г, ",799.2,3.0,2397.6,105,30.09.2022,105.34
"Крепежный уголок 50х50х35х2, ",22.24,70.0,1556.8,105,30.09.2022,105.34
"Ботинки кожаные ""Стандарт-М"" утепленные, ПУ/ТПУ, с внутренними металлическими защитными носками р.43, пар",2115.46,1.0,2115.46,105,30.09.2022,105.35
"Ботинки Трейл Фриз МПШ шерстяной мех размер 43, пар",2967.0,1.0,2967.0,105,30.09.2022,105.35
"Держатель предфильтра UNIX , упак",410.0,2.0,820.0,105,30.09.2022,105.35
"Держатель предфильтров UNIX, упак",81.29,2.0,162.58,105,30.09.2022,105.35
"Костюм  от химических воздействий Л-1 серый, шт",5470.0,2.0,10940.0,105,30.09.2022,105.35
"Костюм Виват-1 Премиум серый/черный/красный размер 104-108/182-188 , шт",4110.0,1.0,4110.0,105,30.09.2022,105.35
"Костюм Виват-1 Премиум серый/черный/красный размер 96-100/170-176 , шт",4110.0,3.0,12330.0,105,30.09.2022,105.35
"Костюм Виват-1 Премиум серый/черный/красный размер 96-100/182-188 , шт",4110.0,2.0,8220.0,105,30.09.2022,105.35
"Костюм мужской ""Азов"" для защиты от механических воздействий и ОПЗ /куртка + брюки/ р.104-108/182-188, шт",3475.68,10.0,34756.8,105,30.09.2022,105.35
"Куртка мужская ""Зима"" для защиты от пониженных температур р. 104-108/182-188, шт",2257.25,1.0,2257.25,105,30.09.2022,105.35
"Очки открытые  UVEX Феос Ван с покрытием от царапин и запотевания, шт",740.0,6.0,4440.0,105,30.09.2022,105.35
"Очки открытые ""Феос Ван"" UVEX (9192370) прозрачная линза, покрытие supravision excellence, шт",409.29,1.0,409.29,105,30.09.2022,105.35
"Перчатки полушерстяные двойные, пар",323.0,3.0,969.0,105,30.09.2022,105.35
"Перчатки трикотажные ""Сити"" для защиты рук от механических взаимодействий и ОПЗ/ПВХ-покрытие/ р.9, пар",33.08,40.0,1323.2,105,30.09.2022,105.35
"Перчатки х/б 10 класс ЛЮКС с ПВХ ВОЛНА, пар",31.0,78.0,2418.0,105,30.09.2022,105.35
"Плащ мужской ""Циклон"" для защиты от нефти, нефтепродуктов, воды с СВ полосой р. 104-108/182-188, шт",1751.59,3.0,5254.77,105,30.09.2022,105.35
"Плащ мужской ""Циклон"" для защиты от нефти, нефтепродуктов, воды с СВ полосой р. 96-100/170-176, шт",1751.59,1.0,1751.59,105,30.09.2022,105.35
"Полуботинки мужские ""Атлетик-Лайт"" микрофибра,ПУ/ТПУ, композит. внутр. защ. носок р.43, пар",2919.87,2.0,5839.74,105,30.09.2022,105.35
"Полуботинки мужские ""Атлетик-Лайт"" микрофибра,ПУ/ТПУ, композит. внутр. защ. носок р.45, пар",2919.87,2.0,5839.74,105,30.09.2022,105.35
"Полуботинки Трейл Зомер МП с перф.отв. размер 41, пар",2829.0,1.0,2829.0,105,30.09.2022,105.35
"Полуботинки Трейл Зомер МП с перф.отв. размер 43, пар",2829.0,2.0,5658.0,105,30.09.2022,105.35
"Полуботинки Трейл Зомер МП с перф.отв. размер 44, пар",2829.0,1.0,2829.0,105,30.09.2022,105.35
"Полуботинки Трейл Зомер МП с перф.отв. размер 46, пар",2829.0,1.0,2829.0,105,30.09.2022,105.35
"Полуботинки Форвелд Плюс 1КП/ размер 42, пар",4140.0,2.0,8280.0,105,30.09.2022,105.35
"Полуботинки Форвелд Плюс 1КП/ размер 43, пар",4140.0,1.0,4140.0,105,30.09.2022,105.35
"Полуботинки Форвелд Плюс 1КП/ размер 44, пар",4140.0,2.0,8280.0,105,30.09.2022,105.35
"Полумаска UNIX 1000 (ТПЭ) размер 3, шт",2020.0,1.0,2020.0,105,30.09.2022,105.35
"Полумаска изолирующая UNIX 1000 (большой размер), шт",861.12,1.0,861.12,105,30.09.2022,105.35
"Предфильтр UNIX Р2 противоаэрозольный , упак",820.0,8.0,6560.0,105,30.09.2022,105.35
"Противогаз ГП -21У с фильтром ФК-Универсал марки A1B1E1K1HgSXP3D и лицевой частью МП-3, шт",5160.0,2.0,10320.0,105,30.09.2022,105.35
"Самоспасатель пожарный изолирующий СПИ-20М, шт",5390.0,2.0,10780.0,105,30.09.2022,105.35
"Фильтр UNIX 522 марки А2В2Е2, упак",673.96,4.0,2695.84,105,30.09.2022,105.35
"Фильтр противоаэрозольный UNIX Р2, упак",162.58,8.0,1300.64,105,30.09.2022,105.35
"Фильтр противогазовый UNIX 522 А2В2Е2, упак",3360.0,4.0,13440.0,105,30.09.2022,105.35
"Халат лаборант размер 104-108/170-176, шт",732.0,1.0,732.0,105,30.09.2022,105.35
"Халат лаборант размер 120-124/182-188, шт",732.0,1.0,732.0,105,30.09.2022,105.35
"Халат лаборант размер 96-100/170-176, шт",732.0,1.0,732.0,105,30.09.2022,105.35
"Халат лаборант размер104-108/182-188, шт",732.0,2.0,1464.0,105,30.09.2022,105.35
"Халат мужской р. 104-108/182-188, шт",1028.63,1.0,1028.63,105,30.09.2022,105.35
"Аптечка для оказания первой помощи работникам (пластиковый шкаф 250мм*300мм*110мм) ФЭСТ.(Изготовлена в соответствии с Приказов Минздравсоцразвития РФ , шт",813.91,13.0,10580.83,105,30.09.2022,105.36
"Бумага для офисной техники IQ Allround А3, класса В+, 80 г/м2, 500л., упак",442.85,60.0,26570.82,105,30.09.2022,105.36
"Бумага офисная А4,80 г/м2,500 л. марка В,IQ Allround,Россия, 162%(CIE), пач",280.85,1175.0,329998.75,105,30.09.2022,105.36
"Бур 12*560, шт",417.5,1.0,417.5,105,30.09.2022,105.36
"Бур по бетону Gigant 6х110 SDS Plus, ",69.76,5.0,348.8,105,30.09.2022,105.36
"Валик STAYER PROFI NYLON 0316-24, ",401.76,2.0,803.52,105,30.09.2022,105.36
"Валик для водных красок Dexter 250 мм, ",177.12,6.0,1062.72,105,30.09.2022,105.36
"Валик малярный с ручкой 250мм, к-т",208.75,1.0,208.75,105,30.09.2022,105.36
"Валик СИБРТЕХ ВЕЛЮР 801326*36*100мм, ",108.0,2.0,216.0,105,30.09.2022,105.36
"Ванночка для краски, шт",66.8,6.0,400.8,105,30.09.2022,105.36
"Винт самонарезной ШСГД редкая резьба 4,2*76, упак",302.25,1.0,302.25,105,30.09.2022,105.36
"Вода питьевая ""Королевская вода"", 19л, шт",249.99,275.0,68747.25,105,30.09.2022,105.36
"вода питьевая ""МИЯ"" 0,33 л. 24 бут/упак., упак",526.22,195.0,102613.29,105,30.09.2022,105.36
"Вытяжная заклёпка комбинированная 3,2х10 алюминий/сталь, ",103.68,3.0,311.04,105,30.09.2022,105.36
"Диспенсер Unibob K-290 для клейкой упаковочной ленты шириной 50 мм, шт",286.31,7.0,2004.17,105,30.09.2022,105.36
"Дюбель для гипсокартона driva. PA 14*32 нейлон. SORMAT, шт",14.6,170.0,2482.0,105,30.09.2022,105.36
"Дюбель распорный Tchappai 8*40 Tech-Krep 111471, шт",45.8,4.0,183.2,105,30.09.2022,105.36
"Дюбель распорный Чапай 6*40, шт",55.55,5.0,277.75,105,30.09.2022,105.36
"Заклепка вытяжная 4,0х10мм, ",129.6,3.0,388.8,105,30.09.2022,105.36
"Заклепочник Gross 40405, ",2561.76,1.0,2561.76,105,30.09.2022,105.36
"Изготовление знака E02-01 (Направляющая стрелка) 200*200 мм на фотолюменисцентной пленке, шт",110.0,6.0,660.0,105,30.09.2022,105.36
"Изготовление знака E22 (Указатель выхода) 300*150 мм фотолюменисцентной пленке, ",124.0,3.0,372.0,105,30.09.2022,105.36
"Изготовление знака F04 (Огнетушитель) 100*100 мм на фотолюминесцентной пленке, шт",28.0,14.0,392.0,105,30.09.2022,105.36
"Изготовление знака F10 (Рожарный извещатель) 100*100 мм на фотолюминесцентной пленке, шт",28.0,31.0,868.0,105,30.09.2022,105.36
"Изготовление знака на самоклеющейся пленке, EC01 (Аптечка) 200*200 мм, шт",28.0,20.0,560.0,105,30.09.2022,105.36
"Изготовление знака на самоклеющейся пленке, P01-00 (Запрещается курить), 204*204 мм, ",28.0,100.0,2800.0,105,30.09.2022,105.36
"Изготовление знака на самоклеющейся пленке, Р01-02 (Круг желтый) 200 мм, шт",28.0,30.0,840.0,105,30.09.2022,105.36
"Изготовление металлической цифры «0», шт",113.43,55.0,6238.65,105,30.09.2022,105.36
"Изготовление металлической цифры «1», шт",107.46,40.0,4298.4,105,30.09.2022,105.36
"Изготовление металлической цифры «2», шт",113.43,15.0,1701.45,105,30.09.2022,105.36
"Изготовление металлической цифры «3», шт",113.43,15.0,1701.45,105,30.09.2022,105.36
"Изготовление металлической цифры «4», шт",133.33,15.0,1999.95,105,30.09.2022,105.36
"Изготовление металлической цифры «6», шт",113.43,15.0,1701.45,105,30.09.2022,105.36
"Изготовление металлической цифры «9», шт",113.43,15.0,1701.45,105,30.09.2022,105.36
"Изолента, рул",41.75,15.0,626.25,105,30.09.2022,105.36
"Кабель ВВГ нгLS3*2,5, шт",58.45,220.0,12859.0,105,30.09.2022,105.36
"Кабель-канал с двойным замком белый 25*16, шт",47.0,58.0,2726.0,105,30.09.2022,105.36
"Кисть малярная плоская ширина 50, шт",50.1,16.0,801.6,105,30.09.2022,105.36
"Клей МОМЕНТ Супер Гель, шт",97.5,8.0,780.0,105,30.09.2022,105.36
"Клещи переставные 250мм, шт",417.5,2.0,835.0,105,30.09.2022,105.36
"Ключ разводной 888 6833208 8"", с обрезиненной рукояткой, шт",250.5,1.0,250.5,105,30.09.2022,105.36
"Ключ разводной 888 6833210 10"", с обрезиненной рукояткой, шт",334.0,2.0,668.0,105,30.09.2022,105.36
"Контейнер для мусора IDEA 50 л, шт",757.61,7.0,5303.27,105,30.09.2022,105.36
"Конференц стол Сенатор 80х110х75 см,ЛДСП,дуб альпийский, ",13190.85,2.0,26381.7,105,30.09.2022,105.36
"Корзина для мусора 10 л пластик черная, арт.325533, шт",64.94,150.0,9741.0,105,30.09.2022,105.36
"Корзина офисная 10 л, шт",63.84,58.0,3702.72,105,30.09.2022,105.36
"Короб с крышкой, гофрокартон, 445х270х335 мм, FELLOWES BANKERS BOX ""Basic"", шт",167.5,250.0,41875.0,105,30.09.2022,105.36
"Лезвие Carbide (5шт.) для ножа Stenley 0-11-800, шт",219.96,3.0,659.88,105,30.09.2022,105.36
"Лента K-FLEX, шт",679.34,4.0,2717.36,105,30.09.2022,105.36
"Лента Scotch монтажная двухсторонняя прозрачная 19 мм*1,5м, шт",630.86,24.0,15140.73,105,30.09.2022,105.36
"Лента оградительная красно-белая, шт",146.25,11.0,1608.75,105,30.09.2022,105.36
"Лента-фум, рул",83.5,4.0,334.0,105,30.09.2022,105.36
"Магнитный браслет с неодимовыми магнитами MasterProf. HS.110038, шт",682.5,1.0,682.5,105,30.09.2022,105.36
"Мебель РТ Арго Колесные опоры Р703 (4 шт.) для  А-401, шт",266.92,50.0,13346.0,105,30.09.2022,105.36
"Механизм качания Топ-Ган (150*220/230), шт",1871.5,5.0,9357.5,105,30.09.2022,105.36
"Мини-валик малярный в сборе STAYER MASTER DUALON 03-05812-11, ",172.8,6.0,1036.8,105,30.09.2022,105.36
"Монтировка АВТОДЕТАЛЬ, шт",819.95,1.0,819.95,105,30.09.2022,105.36
"Набор бит KRAFTOOL 25556-H43, компл",1164.15,1.0,1164.15,105,30.09.2022,105.36
"Набор отверток диэлектрических 1000В с пробником, 8 предметов, пластиковый кейс, Энкор 19835, компл",676.6,1.0,676.6,105,30.09.2022,105.36
"Набор силовых отверток с держателем, 6предметов МАСТАК 04-6GRB, к-т",2068.5,2.0,4137.0,105,30.09.2022,105.36
"Насадка для шуруповерта Torsion PH2 25мм, шт",19.04,16.0,304.64,105,30.09.2022,105.36
"Настенный кондиционер DAIKIN FAA71A/RR71BV Nord-40T (пульт BRC1H519W7), шт",267641.64,1.0,267641.64,105,30.09.2022,105.36
"Нож кровельный Stenley 99 RETRACTABLE 2-10-099 с трапециевидным лезвием, ",452.08,1.0,452.08,105,30.09.2022,105.36
"Опора двухколесная с площадкой, D50 мм, без стопора, шт",37.75,200.0,7550.0,105,30.09.2022,105.36
"Отвертка тестер 70-250 В,SPARTA, шт",259.35,2.0,518.7,105,30.09.2022,105.36
"Очиститель монтажной пены, шт",208.75,2.0,417.5,105,30.09.2022,105.36
"Пакет ПНД 25+12*45 12мкм, 100 шт.уп.,белый, упак",54.95,1.0,54.95,105,30.09.2022,105.36
"Пакеты ""майка"", 100 шт., 24+12х45 см, ПНД, 8 мкм, упак",73.7,7.0,515.9,105,30.09.2022,105.36
"Перчатки рабочие трикотажные Комус , упак",147.12,2.0,294.24,105,30.09.2022,105.36
"Пистолет для герметика Inforce, шт",208.75,1.0,208.75,105,30.09.2022,105.36
"пистолет для пены, шт",501.0,4.0,2004.0,105,30.09.2022,105.36
"Пленка воздушно-пузырчатая, шт",964.8,1.0,964.8,105,30.09.2022,105.36
"Пленка воздушно-пузырьковая трехслойная 1,5*50 м, рул",2244.95,1.0,2244.95,105,30.09.2022,105.36
"Пленка укрывная 2,7*20м с малярной лентой (для крепления к поверхности), шт",668.0,3.0,2004.0,105,30.09.2022,105.36
"Подлокотник Т-образной формы для кресла Chairman 610 LT, шт",610.7,28.0,17099.6,105,30.09.2022,105.36
"Полотно техническое вафельное , рул",1822.36,2.0,3644.72,105,30.09.2022,105.36
"Присоска для снятия стекол двойная TOPEX 14А780, шт",770.25,1.0,770.25,105,30.09.2022,105.36
"Растворитель 646, м3",167.0,8.0,1336.0,105,30.09.2022,105.36
"Розетка RJ-45, шт",49.75,66.0,3283.5,105,30.09.2022,105.36
"Саморез 4,2*32 ШСММ с прессшайбой, упак",219.35,1.0,219.35,105,30.09.2022,105.36
"Саморез Tech-krep 3.5*16 ШСГД редкая резьба, упак",312.0,1.0,312.0,105,30.09.2022,105.36
"Саморез прессшайба ШСММ 4,2*19 мм острый оцинкованный, шлиц PY2, упак",175.5,1.0,175.5,105,30.09.2022,105.36
"Саморез с прессшайбой сверло 4,2*25 ШСММ, упак",195.0,1.0,195.0,105,30.09.2022,105.36
"Саморез ШСГМ 3,5*51, упак",170.6,1.0,170.6,105,30.09.2022,105.36
"Саморезы универсальные оцинкованные 3,5*30 мм, шт",2.34,1000.0,2340.0,105,30.09.2022,105.36
"саморезы универсальные оцинкованные 6*80, шт",3.34,200.0,668.0,105,30.09.2022,105.36
"Сверло HSS 3*61 мм по металлу, шт",58.45,3.0,175.35,105,30.09.2022,105.36
"Сверло по кафелю и стеклу Курс 6 мм, шт",88.51,12.0,1062.12,105,30.09.2022,105.36
"Сверло по металлу HSS-CO (3.5*70*39 mm), к-т",62.46,4.0,249.84,105,30.09.2022,105.36
"Сверло по металлу HSS-Co 4.5*80 мм Dexter Pro, шт",75.15,8.0,601.2,105,30.09.2022,105.36
"Сверло спиральное HSS 6.0*93mm ""MP 10, шт",91.85,4.0,367.4,105,30.09.2022,105.36
"Сетевой фильтр Defender DFS 153,6роз./3м/10А/125Дж,черный, шт",242.6,31.0,7520.6,105,30.09.2022,105.36
"Сетевой фильтр Defender DFS 605.6роз./5м/10А/220Дж,белый, шт",386.97,69.0,26700.93,105,30.09.2022,105.36
"Сетевой фильтр PILOT-S.6роз./5м/10Ф/80ДЖ, белый, шт",733.7,47.0,34483.9,105,30.09.2022,105.36
"Сетевой фильтр PILOT-S.6роз./7м/10А/80Дж,белый, шт",850.41,32.0,27213.12,105,30.09.2022,105.36
"Силиконовая смазка 400 мл Akfix YA14, ",345.6,2.0,691.2,105,30.09.2022,105.36
"Силиконовый герметик, прозрачный SOUDAL PROFIL, шт",169.5,6.0,1017.0,105,30.09.2022,105.36
"Сменное жало держатель для бит Dexter, шт",321.75,1.0,321.75,105,30.09.2022,105.36
"Соединительная клемма 221-415, шт",55.72,13.0,724.36,105,30.09.2022,105.36
"Стекло для пожарного шкафа ТОИР-М, шт",39.5,2.0,79.0,105,30.09.2022,105.36
"Стол приставной на металлокаркасе коллекции Тандем-А, 60*60*75 см цвет дуб альпийский арт. ПК-ТНА-СТП60*60-В2-30, шт",9340.65,5.0,46703.25,105,30.09.2022,105.36
"Стрейч-пленка для ручной упаковки 50 см х 169 м, 20 мкм, 1,55 кг - нетто, ПЕРВИЧНОЕ СЫРЬЕ, растяжение 300%, шт",250.58,30.0,7517.4,105,30.09.2022,105.36
"Стрейч-пленка для ручной упаковки, 20мкм*50 см*220 м,престрейч 180%, 6 шт. в упак., упак",1648.5,4.0,6594.0,105,30.09.2022,105.36
"Стяжка межсекционная мебельная, М6*30, шт",4.01,100.0,401.0,105,30.09.2022,105.36
"Телескопический удлинитель для малярных валиков, шт",292.25,3.0,876.75,105,30.09.2022,105.36
"Уголок крепежный услиенный 50*50*35*2 мм, шт",16.7,26.0,434.2,105,30.09.2022,105.36
"Удлинитель 25 м на катушке LUX ПВС 2*0,75, 4 розетки б/з 24025, шт",1144.25,3.0,3432.75,105,30.09.2022,105.36
